スポット名,県,tsurispot名,緯度,経度,ソース
浜坂漁港,hyogo,浜坂漁港,35.628,134.451,"https://tsurispot.com/spots/hamasaka-gyoko"
諸寄漁港,hyogo,諸寄漁港,35.633,134.467,"https://tsurispot.com/spots/moroyose-gyoko"
居組漁港,hyogo,居組漁港,35.62,134.416,"https://tsurispot.com/spots/igumi-gyoko"

--- 未マッチ(tsurispot側) ---
(未マッチ),osaka,南港海釣り公園,34.6153,135.4189,"https://tsurispot.com/spots/nanko-fishing-park"
(未マッチ),osaka,南港北防波堤,34.6428,135.4112,"https://tsurispot.com/spots/nanko-kita-breakwater"
(未マッチ),osaka,鶴浜地区護岸,34.6478,135.4437,"https://tsurispot.com/spots/tsuruhama-gogan"
(未マッチ),osaka,舞洲地区護岸,34.664,135.398,"https://tsurispot.com/spots/maishima-gogan"
(未マッチ),osaka,淡輪港,34.328,135.17,"https://tsurispot.com/spots/tannowa-kou"
(未マッチ),osaka,泉南りんくう釣り護岸,34.4044,135.2904,"https://tsurispot.com/spots/sennan-rinku-fishing"
(未マッチ),osaka,堺浜海釣りテラス,34.6048,135.4248,"https://tsurispot.com/spots/sakai-hama-fishing"
(未マッチ),osaka,南港,34.624,135.42,"https://tsurispot.com/spots/nanko-tsuri"
(未マッチ),hyogo,翼港,34.558,135.0132,"https://tsurispot.com/spots/tsubasa-port"
(未マッチ),hyogo,淡路島洲本港,34.3433,134.8967,"https://tsurispot.com/spots/awaji-sumoto-port"
(未マッチ),hyogo,都志港,34.4163,134.7791,"https://tsurispot.com/spots/toshi-port"
(未マッチ),hyogo,神戸空港ベランダ,34.6316,135.2239,"https://tsurispot.com/spots/kobe-airport-veranda"
(未マッチ),hyogo,吹上浜,34.2312,134.7358,"https://tsurispot.com/spots/fukiage-hama-awaji"
(未マッチ),hyogo,丸山港,34.178,134.653,"https://tsurispot.com/spots/maruyama-kou-awaji"
